Number,Station No,Dam Name,Reservoir,Latitude,Longitude,Province,WMA,Place,Catchment Area,"FSC 1,000,000m³ (million m³)",Type,actual lvl 20151130 (million m³),actual lvl 20151207 (million m³),actual lvl 20151214 (million m³),actual lvl 20151221 (million m³),actual lvl 20151228 (million m³),actual lvl 20160104 (million m³),actual lvl 20160111 (million m³),actual lvl 20160118 (million m³),actual lvl 20160125 (million m³),actual lvl 20160201 (million m³),actual lvl 20160208 (million m³),actual lvl 20160215 (million m³),actual lvl 20160229 (million m³),actual lvl 20160307 (million m³),actual lvl 20160314 (million m³),actual lvl 20160321 (million m³),20151123 (percent full),20151130 (percent full),20151207  (percent full),20151214  (percent full),20151221 (percent full),20151228 (percent full),20150104 (percent full),20160111 (percent full),20160118 (percent full),20160125 (percent full),20160201 (percent full),20160208 (percent full),20160215 (percent full),20160229 (percent full),20160307 (percent full),20160314 (percent full),20160321 (percent full),2015 week 11 (percent full)
36,A9R001,Albasini Dam ,Albasini,23.10678,30.12497,LP,2,Luvuvhu River @ Albasini Dam,503,28.199,,21.441,21.298,21.27,21.156,,,20.62,20.564,,20.176,20.094,19.929,19.685,19.522,19.522,19.522,76.7,76,75.5,75.4,75,,,73.1,72.9,,71.6,71.3,70.7,69.8,69.2,69.2,69.2,90.8
228,U2R003,Albert Falls Dam,Albert-Falls,29.43109,30.42594,KN,11,Mgeni River @ Albert Falls Dam,1653,288.14,,123.59,120.48,118.93,117.07,,,112.22,107.99,,107.99,107.51,107.99,106.86,104.92,103.79,101.89,44,42.9,41.8,41.3,40.6,,,38.9,37.5,,37.5,37.3,37.5,37.1,36.4,36,35.4,75
85,C4R001,Allemanskraal Dam ,Allemanskraal,28.28835,27.14581,FS,9,Sand River @ Allemanskraal Dam,3628,174.52,,24.396,23.774,23.323,22.518,,,21.902,20.44,,25.299,24.756,23.862,23.594,23.504,22.341,22.253,14.3,14,13.6,13.4,12.9,,,12.6,11.7,,14.5,14.2,13.7,13.5,13.5,12.8,12.8,23.8
110,D2R002,Armenia Dam ,Armenia,29.36433,27.1289,FS,13,Leeu River @ Armenia Dam,861,12.957,,2.387,2.17,2.058,1.886,,,1.488,1.463,,1.551,1.476,1.402,1.342,1.295,1.307,1.295,19,18.4,16.7,15.9,14.6,,,11.5,11.3,,12,11.4,10.8,10.4,10,10.1,10,40.8
176,L3R001,Beervlei Dam ,Beervlei,33.07678,23.49137,EC,15,Groot River @ Beervlei Dam,20580,85.779,Flood Control Dam for Gamtoos River Valley,0,0,0,0,,,0,0,,2.035,1.798,1.613,1.402,1.329,0.973,0.961,0,0,0,0,0,,,0,0,,2.4,2.1,1.9,1.6,1.5,1.1,1.1,0
221,T3R001,Belfort Dam,Belfort,,,EC,12,,,0.413,,0.158,0.154,0.149,0.145,,,0.132,0.128,,0.234,0.228,0.351,0.413,0.405,0.413,0.396,39.3,38.2,37.1,36.1,35,,,31.9,30.9,,56.5,55.2,85,100,98,100,95.8,100
154,J1R002,Bellair Dam ,Bellair,33.712,20.59763,WCo,16,Brak River @ Bellair Dam,558,4.241,,3.878,3.845,3.811,3.767,,,3.671,3.629,,3.545,3.493,3.452,3.351,3.321,3.301,3.231,92,91.5,90.7,89.9,88.8,,,86.6,85.6,,83.6,82.4,81.4,79,78.3,77.8,76.2,69.7
130,G1R004,Berg River Dam  ,Berg River,33.9087,19.05795,WCw,19,Berg River @ Berg River dam,78,127.05,,100.85,100.5,91.896,88.56,,,75.181,69.912,,,63.551,62.032,42.727,39.45,35.577,31.951,81.3,79.4,79.1,72.3,69.7,,,59.2,55,,,50,48.8,33.6,31.1,28,25.1,62.8
198,R1R003,Binfield Dam ,Binfield,32.69426,26.90552,EC,12,Tyume River @ Binfield Dam,113,36.849,,36.849,36.849,36.849,36.771,,,36.509,36.379,,35.989,35.937,35.808,35.679,35.602,36.849,36.849,100,100,100,100,99.8,,,99.1,98.7,,97.7,97.5,97.2,96.8,96.6,100,100,99.6
104,C9R002,Bloemhof Dam ,Bloemhof,27.66922,25.61657,FS,9,Vaal River @ Bloemhof Dam,108360,1240.24,,446.29,419.25,392.27,363.35,,,276.57,250.79,,277.49,259.46,239.01,200.88,191.75,174.45,190.26,37.2,36,33.8,31.6,29.3,,,22.3,20.2,,22.4,20.9,19.3,16.2,15.5,14.1,15.3,65.2
